institution_code,catalog_number,recorded_by,year,month,decimal_latitude,decimal_longitude,location,species,generic_name,specific_name,day,.val,.equ,.zer,.cap,.cen,.sea,.otl,.gbf,.inst,.summary
NZAC,NZAC04278376,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278377,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278378,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278379,G Kuschel,1980,12,-35.45532,174.73726,"Poor Knights Islands, Tawhiti Rahi",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278381,NA,1966,10,-35.478652,174.742441,"Poor Knights Islands, Aorangi Islands, Urupa Point",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278380,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278382,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278383,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278384,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278385,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278386,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278387,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278388,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278389,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278390,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278391,GW Ramsay,1972,11,-36.95324,176.09473,"Alderman Islands, Ruamahuanui Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278403,BA Holloway,1961,11,-41.11418,174.32762,"Cook Straight, Queen Charlotte Sound, Motungarara Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278404,BA Holloway,1961,11,-41.11418,174.32762,"Cook Straight, Queen Charlotte Sound, Motungarara Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278405,BA Holloway,1961,11,-41.11418,174.32762,"Cook Straight, Queen Charlotte Sound, Motungarara Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04278430,G Kuschel,1984,11,-47.23777,167.40752,"South West Stewart Island, North East Big South Cape Island",Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283823,J McBurney,1971,2,-40.67069,173.9983,Stephens Island,Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283824,J McBurney,1971,2,-40.67069,173.9983,Stephens Island,Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283825,J McBurney,1971,2,-40.67069,173.9983,Stephens Island,Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283826,J McBurney,1971,2,-40.67069,173.9983,Stephens Island,Anagotus fairburni,Anagotus,fairburni,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283856,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283857,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283858,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283859,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283860,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283861,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283862,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283863,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283864,G Ramsay,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283865,G Kuschel,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283866,G Kuschel,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
NZAC,NZAC04283867,G Kuschel,1971,2,-40.67069,173.9983,Stephens Island,Anagotus rugosus,Anagotus,rugosus,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
