Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04239469,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,Resolution Island,,"-45.66653, 166.648178",,,,3,1983,,B McLean,,At night,,,,,,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,
NZAC,NZAC04239439,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,Breaksea Island,,"-45.57777, 166.63752",,,13,5,1996,,JS Dugdale,,,,on/in Olearia oporina,,,Female,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,adult+larva (only adult present)
NZAC,NZAC04239229,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,Breaksea Island,,"-45.57777, 166.63752",,,13,5,1996,,JS Dugdale,,,,on/in Olearia oporina,,,Male,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,adult+larva (only adult present)
NZAC,NZAC04239409,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,FD,Breaksea Island,,"-45.57777, 166.63752",,,13,5,1996,,JS Dugdale,,,,on/in Olearia oporina,,,Male,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,adult+larva (only adult present)
NZAC,NZAC04239379,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_b,australis n.sp,,,,,New Zealand,SI,"Stewart Island, Puwai Long Island",,"-47.249329, 167.411385",,,30,8,1964,,PM Johns,,At night,,Oleria forest,,,,Adult,,,"australis n.sp. K'81 //host: unknown, prob.// Dracophyllum",,
NZAC,NZAC04239319,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,G Kuschel,1981,,,New Zealand,NC,"Arthurs Pass National Park, Waimakariri, mountain head of White River",,"-42.98568, 171.40234",,,,1,1965,,M Breen,,,Sub Alpine,Sub Alpine scrub,,,,Adult,,Anagotus carinirostris,Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,
NZAC,NZAC04239289,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,NN,Mount Aorere,"Kahurangi National Park, Aorere Peak","-41.021461, 172.492347",,,8,12,1962,,W.A.H.,,,,,,,,Adult,,,Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,
NZAC,NZAC04239349,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,BR,Lewis Pass,,"-42.380494, 172.400165",,,18,11,1961,24/11/1961,G Kuschel,,,,,,,,Adult,,,Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,genitalia point mounted below
NZAC,NZAC04239259,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,,,,,New Zealand,NC,Minchin Pass,,"-42.78385, 171.81131",,,11,2,1962,,PM Johns,ChCh,,,,,,,Adult,,,Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,
NZAC,NZAC04239470,Pinned,1,Coleoptera,Curculionidae,,"Anagotus carinirostris Marshall, 1953",,,Kuschel,1962,,,New Zealand,,Mount Owen,,"-41.554218, 172.541742",y,4500',4,11,1961,10/11/1961,JI Townsend,,,,,,,,Adult,,Carinorostris (Marshall),Carinorostris (Marshall 1953) K'81 //host: Chionochloa,,
