Institution,Barcode,Broun/label Number,Altitude,Location,NEIL_guess_coordinates,collection date,clean_date,year,Collector,Determinor,Determination,Accession Label,Taxa,Drawer Information,Type,Notes,neil_guess_accepted_name
NHMUK,NHMUK016119889,2911,,"Wakatipu, Ben Lomond.","-45.00864, 168.61428",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris latirostris,,"red circle ""Type""",,Anagotus latirostris
NHMUK,NHMUK016119890,2911,,,,,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus latirostris
NHMUK,NHMUK016119891,2911,,,,8.6.1912.,8/06/1912,1912,O'connor,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,Carded ventral side up,Anagotus latirostris
NHMUK,NHMUK016119892,2911,,Ben Lomond.,"-45.00864, 168.61428",Dec - 1912.,Dec-12,1912,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus latirostris
NHMUK,NHMUK016119893,2911,,Lomond.,"-45.00864, 168.61428",12.12.1912.,12/12/1912,1912,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus latirostris
NHMUK,NHMUK016119894,var. 2911,,Wakatipu.,"-45.043085, 168.613701",Feby.1912.,Feb-12,1912,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus latirostris
NHMUK,NHMUK016119895,var. 2911,,Hunter mts.,"-45.614278, 167.398338",27.12.1914.,27/12/1914,1914,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,,,,,Anagotus latirostris
NHMUK,NHMUK016119896,3288,5000 ft.,Vanguard peak.,"-44.854013, 168.744593",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris aterrima,,lecto-type,,Anagotus aterrimus
NHMUK,NHMUK016119897,3288,5000 ft.,Vanguard peak.,"-44.854013, 168.744593",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris aterrima,,,Carded ventral side up,Anagotus aterrimus
NHMUK,NHMUK016119898,3446,,Humboldt Range,"-44.699837, 168.232698",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris laevicostatus.,,"red circle ""Type""",,Anagotus laevicostatus
NHMUK,NHMUK016119899,3289,5000 ft.,Vanguard peak.,"-44.854013, 168.744593",,,,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris Hamiltoni,,"red circle ""Type""",BMNH(E) #715841 Digitally scanned,Anagotus hamiltoni
NHMUK,NHMUK016119900,3924,,Bold Peak.,"-44.84785, 168.30256",Jany.1914.,Jan-14,1914,,,,New Zealand Broun// Coll.// Brit. Mus.// 1922-482. ,Tocris pascoi.,,"red circle ""Type""",,Anagotus pascoi
NHMUK,NHMUK016119901,,,D'urville Isld. // Cook Strait.,"-40.87348, 173.83062",14.1.1931.,14/01/1931,1931,coll. // E.Fairburn. ,,,Pres by // Imp. Inst. Ent // B.M. 1935-197,Phaeophanus Fairburni // Brookes. // ,,,Paratypes.,Anagotus fairburni
NHMUK,NHMUK016119902,,,,,14.1.1931.,14/01/1931,1931,coll. // E.Fairburn. ,,,Pres by // Imp. Inst. Ent // B.M. 1935-197,Phaeophanus Fairburni // Brookes. // ,,,Paratypes.,Anagotus fairburni
NHMUK,NHMUK016119903,,,D'urville Is.,"-40.87348, 173.83062",,,,E.S. Gourlay,G.A.K. Marshall.,,Pres by // Imp. Inst. Ent // B.M. 1936-69,Phaeophanus Fairburni // Brookes. // ,,,Carded Genetalia | 413.a. (vertical on bottom label),Anagotus fairburni
NHMUK,NHMUK016119904,,,D'urville Isld. // Cook Strait.,"-40.87348, 173.83062",14.1.1931.,14/01/1931,1931,coll. // E.Fairburn. ,,,Pres by // Imp. Inst. Ent // B.M. 1935-197,Phaeophanus Fairburni // Brookes. // ,,cotype.,413,Anagotus fairburni
NHMUK,NHMUK016119905,,,D'urville Is.,"-40.87348, 173.83062",14.1.31.,14/01/1931,1931,E.Fairburn. ,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,Phoxoteles // fairbairni // (Broo.),,,,Anagotus fairburni
NHMUK,NHMUK016119906,,,D'urville Is.,"-40.87348, 173.83062",14.1.31.,14/01/1931,1931,E.Fairburn. ,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
NHMUK,NHMUK016119907,,,D'urville Is.,"-40.87348, 173.83062",14.1.31.,14/01/1931,1931,,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
NHMUK,NHMUK016119908,,,D'urville Is.,"-40.87348, 173.83062",14.1.31.,14/01/1931,1931,,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
NHMUK,NHMUK016119909,,,D'urville Is.,"-40.87348, 173.83062",13-17.1.31.,13/01/1931,1931,E.S. Gourlay,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
NHMUK,NHMUK016119910,,,D'urville Is.,"-40.87348, 173.83062",14.1.31.,14/01/1931,1931,,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
NHMUK,NHMUK016119911,,,D'urville Is.,"-40.87348, 173.83062",13-17.1.31.,13/01/1931,1931,E.S. Gourlay,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,,,,,Anagotus fairburni
